label,x,y
breast-cancer,10.123783,24.89817
breast-cancer,33.997437,-7.3689475
breast-cancer,29.439198,22.49501
breast-cancer,23.168467,22.842588
breast-cancer,28.931915,10.618776
breast-cancer,-53.799397,-25.631605
breast-cancer,25.340261,18.838062
breast-cancer,-10.790784,22.113447
breast-cancer,-41.206657,13.562165
breast-cancer,-52.92222,-28.32835
breast-cancer,-6.2513914,-0.3800371
breast-cancer,30.437872,6.588587
breast-cancer,-6.4339204,3.42578
breast-cancer,-30.786848,-15.214201
breast-cancer,-52.02388,-23.605156
breast-cancer,38.594128,-14.003344
breast-cancer,-44.155785,-26.137762
breast-cancer,9.878286,24.909441
breast-cancer,-52.35534,-29.022655
breast-cancer,66.59781,-1.5757611
breast-cancer,-19.10881,13.782725
breast-cancer,32.78728,-1.8286207
breast-cancer,5.262008,18.499939
breast-cancer,-43.640644,-27.515284
monks-2,65.32158,-8.8036175
monks-2,35.324123,-13.088276
monks-2,71.06593,-5.075732
monks-2,20.49901,25.397625
monks-2,44.09835,-16.319662
monks-2,26.631752,1.9542071
monks-2,59.229687,-11.556416
monks-2,68.461845,-6.797178
monks-2,26.713112,13.898544
monks-2,29.28743,-9.855206
monks-2,27.727934,23.168673
monks-2,46.973087,-18.645935
monks-2,69.87532,-4.014021
monks-2,63.207424,-10.871355
monks-2,35.192513,-14.358383
monks-2,20.650646,26.68886
monks-2,27.553526,2.8929698
monks-2,28.99689,1.6081648
monks-2,30.712442,7.8689213
monks-2,30.092789,-7.063066
monks-2,29.975487,-6.1645365
monks-2,50.812275,-15.781309
monks-2,54.68702,-16.791994
monks-2,67.73726,-6.114469
monks-2,48.712353,-16.339298
monks-2,34.03766,-15.18499
monks-2,73.71291,-2.5477366
monks-2,52.092403,-18.47841
monks-2,28.154474,5.730643
monks-2,61.207504,-12.48664
monks-2,48.074413,-17.592827
monks-2,47.42346,-19.027538
monks-2,62.84863,-6.2180953
monks-2,70.90402,-6.8875484
monks-2,60.990032,-11.364515
monks-2,37.74014,-13.320231
monks-2,44.822826,-16.67489
monks-2,44.18577,-19.09907
monks-2,70.159645,-5.4910016
monks-2,56.12832,-13.967385
monks-2,53.485817,-13.222718
monks-2,29.721117,-4.9600306
monks-2,62.119106,-12.371584
monks-2,74.75322,-1.4924316
monks-2,47.596966,-16.285873
monks-2,66.0163,-8.004526
monks-2,49.837837,-16.062613
monks-2,60.111183,-11.807469
monks-2,60.08071,-12.870136
monks-2,53.01955,-16.679447
monks-2,30.274424,-10.956822
monks-2,74.13461,-1.3904356
monks-2,67.59415,-7.173193
monks-2,31.554996,-6.1087694
monks-2,20.665926,24.623636
monks-2,61.952763,-10.71167
monks-2,74.82608,-2.175208
monks-2,63.82522,-3.7588134
monks-2,37.955196,-14.392316
monks-2,51.8949,-17.508554
monks-2,32.8383,-15.162203
monks-2,44.24743,-17.32177
monks-2,36.517853,-15.004818
monks-2,68.93951,-4.7433524
monks-2,6.4877043,25.629879
monks-2,53.60962,-14.703179
monks-2,37.947025,-15.152782
monks-2,59.074966,-13.697635
monks-2,73.35419,-2.1645722
monks-2,30.746553,-7.484498
monks-2,28.84801,0.006501242
monks-2,46.560684,-20.970999
monks-2,17.66251,24.669529
monks-2,27.472948,13.656712
monks-2,62.85757,-11.329084
monks-2,31.62689,-5.184363
monks-2,47.298965,-17.248041
monks-2,63.06716,-3.8054132
monks-2,28.954071,3.0324798
monks-2,33.698612,-11.821143
monks-2,30.716406,-12.336578
monks-2,36.319077,-15.839433
monks-2,69.667076,-2.8369052
monks-2,29.014584,6.456459
monks-2,45.702152,-19.061928
monks-2,27.407679,4.8361325
monks-2,52.77827,-15.637468
monks-2,63.89456,-4.746381
monks-2,47.252632,-20.8466
monks-2,30.703476,-9.38341
monks-2,22.530222,22.559893
monks-2,54.304073,-14.601945
monks-2,62.639942,-4.3866873
monks-2,33.67743,-14.415723
monks-2,62.333244,-6.5580196
monks-2,70.15246,-7.27469
monks-2,29.913742,-9.489072
monks-2,63.49887,-5.518699
monks-2,33.55884,-3.598421
monks-2,69.33852,-5.8527303
optical,-14.322675,-11.940886
optical,6.384541,21.78828
optical,-9.876451,-0.56015444
optical,9.0056715,19.824825
optical,-29.26324,-24.465996
optical,-47.56176,-30.13311
optical,-7.829018,-2.6054764
optical,-32.728085,-24.602566
optical,-14.65538,-10.918666
optical,-24.423342,-3.9098773
optical,-9.56673,-2.3852737
optical,-12.877145,-8.872573
optical,-23.241096,-18.317188
optical,-44.188896,-29.403358
optical,-4.4401474,5.9369793
optical,-47.92311,-27.537357
optical,-43.496784,-28.51896
optical,-12.113554,11.107326
optical,-14.493008,-0.065450825
optical,-36.99677,-26.164015
optical,-31.53568,-15.044814
optical,-28.025932,-20.61708
optical,-4.7989907,5.8457613
optical,-40.144176,-28.773787
optical,-31.782618,-12.422694
optical,-12.001187,-6.549085
optical,-31.29415,-13.674341
optical,15.013154,24.836775
optical,-19.64243,-9.552345
optical,-43.89137,-24.963518
optical,-34.38467,-25.66604
optical,-37.1813,-28.542658
optical,-34.62003,-19.492182
optical,14.042142,24.548807
optical,-33.396572,-11.05501
optical,-27.436537,-20.412292
optical,-40.0831,-27.960176
optical,7.9300647,18.408476
optical,-34.51487,-19.906069
optical,5.2624226,14.230723
optical,15.634161,24.364164
optical,-46.7247,-30.696335
optical,-7.296584,0.09910873
optical,-39.60318,-30.883627
optical,-44.20133,-30.571474
optical,-24.867771,-4.4679384
optical,-49.99506,-29.478336
optical,-14.799535,-12.601521
optical,-5.6362386,4.6007695
optical,-31.650084,-17.16817
optical,-32.328606,-25.768429
optical,-29.261705,-18.40533
optical,-5.828684,3.4127429
optical,-53.750713,-27.902206
optical,-53.956123,-28.687689
optical,-45.011925,-29.652874
optical,-11.6744175,-7.2573123
optical,-27.990639,-24.371582
optical,-16.302063,-12.16689
optical,-14.39706,-9.947837
optical,-17.846935,-11.619409
optical,-46.147358,-30.032938
optical,28.343138,23.295288
optical,-13.212129,-6.1670146
optical,-9.994963,-3.2212472
optical,-29.364721,-19.531145
optical,-14.532346,-6.964241
optical,-34.67474,-18.071457
optical,7.568545,18.976322
optical,-15.767036,-13.495666
optical,-25.30037,-19.131641
optical,3.7560012,13.5833025
optical,-33.929707,-26.340452
optical,-17.636833,-9.458405
optical,-48.087284,-28.198112
optical,-38.592648,-29.591496
optical,-36.286114,-25.803326
optical,-27.684551,-18.115227
optical,-31.221027,-16.396852
optical,-23.864395,-4.504927
optical,7.597404,17.46249
optical,-24.868238,-20.067238
optical,-5.957382,1.6515191
optical,-17.191616,-13.697359
optical,-36.313297,-26.465157
optical,-18.081242,-10.448802
optical,-31.288145,-24.99701
optical,-48.748188,-30.121029
optical,16.4943,24.394638
optical,-30.409664,-17.981976
optical,-15.296105,-11.794251
optical,5.0500665,15.210579
optical,12.839024,24.199432
optical,-24.404596,-18.4159
optical,-38.83871,-28.259151
optical,-50.825577,-29.563038
optical,5.286677,16.363737
optical,-42.752354,-28.173964
optical,-23.123194,-17.58436
optical,-13.539962,-7.1809974
