label,x,y
cylinder-bands,-10.404668,18.762327
cylinder-bands,-42.7399,-12.346539
cylinder-bands,-28.76922,17.996563
cylinder-bands,-9.63868,10.540337
cylinder-bands,-32.690895,13.379698
cylinder-bands,-17.953066,16.680037
cylinder-bands,-35.537,12.742102
cylinder-bands,-16.215876,13.764532
cylinder-bands,-46.096615,-10.391425
cylinder-bands,-9.726553,19.883183
cylinder-bands,-39.47973,13.236952
cylinder-bands,-24.284092,-2.4962726
cylinder-bands,-17.358253,23.880684
cylinder-bands,-31.092052,9.621179
cylinder-bands,-27.14944,11.119124
cylinder-bands,-25.542082,-2.447715
cylinder-bands,-39.90853,12.654372
cylinder-bands,-36.143784,-10.095597
cylinder-bands,-17.090357,23.193272
cylinder-bands,-38.313545,12.446104
cylinder-bands,-52.809612,-23.058516
cylinder-bands,-29.376204,18.950743
cylinder-bands,-38.481033,-10.908486
cylinder-bands,-10.768944,6.2491426
cylinder-bands,-41.841705,-12.680829
cylinder-bands,-36.327034,21.991083
cylinder-bands,-39.00548,21.778149
cylinder-bands,-29.719477,10.267755
cylinder-bands,-37.754635,20.792171
cylinder-bands,-35.734398,21.300917
cylinder-bands,-14.504926,17.624605
cylinder-bands,-46.211475,-11.477832
cylinder-bands,-13.499332,16.954525
cylinder-bands,-45.75432,-9.488314
cylinder-bands,21.001932,26.979265
cylinder-bands,-36.288578,12.844821
cylinder-bands,-31.939373,9.495776
cylinder-bands,5.804919,27.14061
cylinder-bands,-35.174103,-9.362952
cylinder-bands,-30.218863,11.548521
cylinder-bands,-32.58135,-16.662363
cylinder-bands,-14.811459,22.858833
cylinder-bands,-28.819511,22.82131
cylinder-bands,-36.380913,15.26573
cylinder-bands,-13.878298,24.423115
cylinder-bands,-41.932373,-11.950655
cylinder-bands,-26.954165,18.956106
cylinder-bands,-38.500618,19.988503
cylinder-bands,-42.646557,-11.410955
cylinder-bands,-10.118482,22.673723
cylinder-bands,-30.985601,21.708687
cylinder-bands,-11.485672,17.765043
cylinder-bands,-41.84752,14.493536
cylinder-bands,-30.408997,-26.252592
cylinder-bands,-13.432117,24.3884
cylinder-bands,-27.621239,-3.1054416
cylinder-bands,-45.744556,-9.098604
cylinder-bands,-17.549114,14.422141
cylinder-bands,-52.23182,-22.534582
cylinder-bands,-37.04994,18.9283
cylinder-bands,-32.07913,10.988076
cylinder-bands,-18.29709,23.609615
cylinder-bands,-19.078556,14.733488
cylinder-bands,7.2863774,26.489996
cylinder-bands,-18.15251,15.410218
cylinder-bands,-33.64494,10.505023
cylinder-bands,-37.158356,19.986305
cylinder-bands,-15.851039,23.15159
cylinder-bands,-13.387906,19.64049
cylinder-bands,-18.684223,16.10532
cylinder-bands,-29.50738,18.984135
cylinder-bands,-33.928455,12.311398
cylinder-bands,-19.141647,22.815456
cylinder-bands,-40.329163,13.608285
cylinder-bands,-29.898405,21.515528
cylinder-bands,-38.31689,18.737476
cylinder-bands,-27.28528,10.456956
cylinder-bands,-11.102907,-0.3623421
cylinder-bands,-19.458132,17.173256
cylinder-bands,-9.598181,11.253237
cylinder-bands,-24.60607,20.66674
cylinder-bands,-37.421516,14.086851
cylinder-bands,-45.139374,-10.783873
cylinder-bands,-37.705723,-10.738872
cylinder-bands,-17.362764,15.437496
cylinder-bands,-25.7289,20.272648
cylinder-bands,-37.980476,19.464106
cylinder-bands,-28.019928,-3.8555875
cylinder-bands,-12.162917,20.597147
cylinder-bands,-51.717686,-22.630367
cylinder-bands,-13.795291,19.259987
cylinder-bands,-28.684624,20.924185
cylinder-bands,-38.33675,11.6462345
cylinder-bands,-44.362267,-24.859018
cylinder-bands,-31.926632,12.150552
cylinder-bands,-36.68933,14.268994
cylinder-bands,7.1055465,24.829739
cylinder-bands,-11.938023,15.6840515
cylinder-bands,-36.669113,21.029734
cylinder-bands,-27.31101,20.466934
breast-cancer,15.993151,25.228254
breast-cancer,4.4762177,18.732069
breast-cancer,-8.705016,-1.1228869
breast-cancer,23.73113,22.124912
breast-cancer,32.064182,7.4391036
breast-cancer,-39.209938,-29.981186
breast-cancer,6.646939,24.02671
breast-cancer,-15.191634,-0.19808179
breast-cancer,14.413149,25.650448
breast-cancer,6.1572285,26.73236
breast-cancer,-10.253242,5.2295327
breast-cancer,24.832418,17.489086
breast-cancer,28.950726,5.0049334
breast-cancer,28.80982,17.558922
breast-cancer,-53.172207,-29.222588
breast-cancer,-8.506988,-2.507075
breast-cancer,-10.238744,21.494926
breast-cancer,33.218544,-2.6917868
breast-cancer,25.523575,20.13331
breast-cancer,10.91478,26.026323
breast-cancer,5.482496,20.139133
breast-cancer,30.343142,3.429062
breast-cancer,-10.372726,6.8857017
breast-cancer,23.943567,21.382824
breast-cancer,36.213913,-8.314511
breast-cancer,4.0527105,15.391713
breast-cancer,-12.110253,0.8447066
breast-cancer,28.888676,19.171013
breast-cancer,6.344817,19.528631
breast-cancer,28.474072,13.7776785
breast-cancer,-28.731,10.795982
breast-cancer,33.52925,-6.653342
breast-cancer,-29.332153,-21.450897
breast-cancer,-11.91465,25.300037
breast-cancer,60.178524,-5.7722874
breast-cancer,54.600613,-15.752978
breast-cancer,29.766802,-0.06343645
breast-cancer,2.9305615,14.515091
breast-cancer,35.570477,-15.394599
breast-cancer,28.012884,16.58721
breast-cancer,28.721275,21.43705
breast-cancer,32.425224,-5.0878997
breast-cancer,28.21685,14.543867
breast-cancer,-25.389103,-3.6697652
breast-cancer,29.751194,1.551845
breast-cancer,-11.6823435,1.3336138
breast-cancer,29.819817,7.211727
breast-cancer,67.571754,-2.2020345
breast-cancer,-20.537727,-9.689793
breast-cancer,28.846838,15.857404
breast-cancer,60.925404,-3.669941
breast-cancer,29.074293,16.317411
breast-cancer,-33.630295,-10.103806
breast-cancer,-11.042939,9.463882
breast-cancer,29.809006,20.07014
breast-cancer,7.1458926,22.363674
breast-cancer,-34.542297,-11.07544
breast-cancer,-32.829517,-14.666044
breast-cancer,-12.733268,10.516218
breast-cancer,3.537693,14.379922
breast-cancer,4.1278267,16.198763
breast-cancer,28.439129,19.573843
breast-cancer,-30.57901,-18.790964
breast-cancer,-35.583126,-10.985878
breast-cancer,35.09462,-7.2259064
breast-cancer,-11.644109,10.731061
breast-cancer,-15.952334,13.178501
breast-cancer,-11.452528,-5.8288345
breast-cancer,-5.668742,-1.0675179
breast-cancer,-11.188674,15.809481
breast-cancer,24.493103,20.02618
breast-cancer,-11.055493,8.359422
breast-cancer,29.498741,21.469194
breast-cancer,29.872025,2.827699
breast-cancer,-10.727368,17.537575
breast-cancer,-33.996975,-18.425156
